name,unit,date,value,desc,doc
C.05,20,02/01/2014,84.0,"Furnishing, household equipment and routine household maintenance",
C.05,20,03/01/2014,84.1,"Furnishing, household equipment and routine household maintenance",
C.05,20,04/01/2014,84.8,"Furnishing, household equipment and routine household maintenance",
C.05,20,05/01/2014,85.3,"Furnishing, household equipment and routine household maintenance",
C.05,20,06/01/2014,85.8,"Furnishing, household equipment and routine household maintenance",
C.05,20,07/01/2014,86.1,"Furnishing, household equipment and routine household maintenance",
C.05,20,08/01/2014,86.6,"Furnishing, household equipment and routine household maintenance",
C.05,20,09/01/2014,87.2,"Furnishing, household equipment and routine household maintenance",
C.05,20,10/01/2014,87.2,"Furnishing, household equipment and routine household maintenance",
C.05,20,11/01/2014,87.4,"Furnishing, household equipment and routine household maintenance",
C.05,20,12/01/2014,86.7,"Furnishing, household equipment and routine household maintenance",
C.05,20,01/01/2015,87.6,"Furnishing, household equipment and routine household maintenance",
C.05,20,02/01/2015,87.7,"Furnishing, household equipment and routine household maintenance",
C.05,20,03/01/2015,87.3,"Furnishing, household equipment and routine household maintenance",
C.05,20,04/01/2015,87.7,"Furnishing, household equipment and routine household maintenance",
C.05,20,05/01/2015,88.0,"Furnishing, household equipment and routine household maintenance",
C.05,20,06/01/2015,89.3,"Furnishing, household equipment and routine household maintenance",
C.05,20,07/01/2015,89.2,"Furnishing, household equipment and routine household maintenance",
C.05,20,08/01/2015,89.7,"Furnishing, household equipment and routine household maintenance",
C.05,20,09/01/2015,90.4,"Furnishing, household equipment and routine household maintenance",
C.05,20,10/01/2015,90.6,"Furnishing, household equipment and routine household maintenance",
C.05,20,11/01/2015,91.1,"Furnishing, household equipment and routine household maintenance",
C.05,20,12/01/2015,91.4,"Furnishing, household equipment and routine household maintenance",
